STAR WALKIN',STAR WALKIN',Lil Nas X,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Spiral,Spiral,LONGMAN,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
起風了,起風了,井朧,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
M87,M八七,Kenshi Yonezu,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
ギラギラ,ギラギラ,Ado,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
阿修羅ちゃん,阿修羅ちゃん,Ado,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
冬の花,冬の花,Hiroji Miyamoto,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
虞兮叹,虞兮叹,闻人听書_,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
童話,童話,Michael Wong,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
如愿,如愿,Faye Wong,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
インフェルノ（Inferno）,インフェルノ,Mrs. GREEN APPLE,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
消愁,消愁,Mao Buyi,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Nightcall,Nightcall,Kavinsky,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
愛とか恋とか,愛とか恋とか,Novelbright,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
夢花火,夢花火,Novelbright,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
ツキミソウ,ツキミソウ,Novelbright,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
イエスタデイ,yesterday,OFFICIAL HIGE DANDISM,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Pretender,pretender,OFFICIAL HIGE DANDISM,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
魔法の絨毯,魔法の絨毯,川崎鷹也,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
クリスマスイブ,クリスマスイブ,Yuuri,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
ベテルギウス,ベテルギウス,中村 由利子,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
メリーゴーランド,メリーゴーランド,朝比奈あゆり,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
わたがし,わたがし,back number,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
ヒロイン,ヒロイン,back number,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Walking with you,Walking with you,Novelbright,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
花の塔,花の塔,Sayuri,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Overdose,Overdose,natori,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
悪魔の子,悪魔の子,Higuchi Ai,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
二千年... 若しくは... 二万年後の君へ,,,,,,,,,,
白鴿,白鴿,Wu Bai,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
リセット,リセット,Taichi Mukai,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
如果我還剩一件事情可以做,如果我還剩一件事情可以做,JJ Lin,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
願與愁,願與愁,JJ Lin,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
High Hopes,High Hopes,Panic! At The Disco,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Circles,Circles,Post Malone,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
おもかげ,おもかげ,milet,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Rage of Dust,Rage of Dust,SPYAIR,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Alors on danse,Alors on danse,Stromae,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Something Just Like This,Something Just Like This,The Chainsmokers,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Chlorine,Chlorine,Twenty One Pilots,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Heathens,Heathens,Twenty One Pilots,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
uni-verse,uni-verse,Masayoshi Oishi,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
怪獣の花唄,怪獣の花唄,Vaundy,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
我的歌声里,我的歌声里,Wanting,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
あの夢をなぞって,あの夢をなぞって,YOASOBI,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
祝福,祝福,YOASOBI,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
グッバイ宣言,グッバイ宣言,麻婆豆腐,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
シル・ヴ・プレジデント,シル・ヴ・プレジデント,P丸様｡,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
メルト,メルト,ずま,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
メロウ,メロウ,須田景凪,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
ローリンガール,ローリンガール,初音ミクVS海賊王×[TEST],acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
